Wavelength,n_0.8,n_0.9,n_1.0,n_1.1,n_1.2,n_1.3,n_1.4,n_1.5,n_1.6,n_1.7,n_1.8,n_1.9,n_2.0,n_2.1,n_2.2,n_2.3,n_2.4
400,0.043078194492491916,0.04307819449249247,0.04307819449249842,0.043078194492575314,0.04307819449323723,0.04307819449731088,0.043078194516542705,0.04307819458996748,0.04307819482588649,0.04307819548364409,0.04307819711332767,0.043078200769727695,0.0430782083112577,0.04307822278608147,0.04307824889812992,0.04307829353678039,0.04307836634708629
401,0.043078194492490465,0.04307819449249208,0.04307819449250865,0.0430781944927042,0.043078194494262985,0.043078194503250684,0.04307819454336708,0.04307819468923885,0.0430781951383226,0.043078196343983306,0.04307819923242154,0.04307820552080018,0.043078218143956314,0.04307824178461415,0.043078283489616814,0.04307835334456933,0.043078465172795746
402,0.043078194492486704,0.043078194492491236,0.04307819449253572,0.043078194493016655,0.04307819449657662,0.04307819451585082,0.043078194597347845,0.043078194880072536,0.04307819571531151,0.04307819787744854,0.043078202892072155,0.04307821349686072,0.04307823423509546,0.04307827216472994,0.043078337651180194,0.04307844520178526,0.04307861429524405
403,0.04307819449247694,0.04307819449248949,0.04307819449260679,0.04307819449377026,0.04307819450177769,0.0430781945425317,0.043078194705928496,0.04307819524718281,0.04307819678271623,0.04307820061793377,0.043078209234120285,0.04307822694309625,0.04307826069574486,0.04307832100927324,0.043078422962182186,0.04307858719751286,0.04307884087420128
404,0.043078194492452176,0.04307819449248629,0.043078194492789844,0.04307819449555619,0.043078194513282056,0.043078194598187416,0.04307819492129883,0.04307819594418519,0.04307819873307828,0.043078205458480665,0.04307822010311012,0.043078249372182235,0.04307830377005641,0.04307839878291446,0.04307855609253105,0.043078804742440205,0.04307918218363182
405,0.043078194492393904,0.043078194492481965,0.043078194493227084,0.0430781944994955,0.04307819453703708,0.04307819470683495,0.04307819532192206,0.04307819718749015,0.04307820208654133,0.04307821351516578,0.04307823767738386,0.04307828470893045,0.043078370062940026,0.04307851596583004,0.04307875284192966,0.04307912060974119,0.04307966976782226
406,0.04298640659318288,0.04298640659339271,0.042986406595084244,0.04298640660831181,0.04298640668279051,0.04298640700246411,0.04298640810949853,0.042986411338401476,0.042986419531972436,0.0429864380761154,0.04298647623978831,0.042986548754413656,0.04298667752704557,0.04298689336073506,0.04298723755478988,0.04298776327336922,0.042988536597302375
407,0.04289466319766877,0.04289466319814895,0.04289466320183719,0.042894663228741324,0.04289466337158553,0.042894663954889396,0.0428946658901958,0.0428946713288354,0.0428946846871556,0.04289471406221817,0.04289477298646573,0.04289488240832111,0.04289507274656023,0.04289538585472637,0.042895876745059805,0.042896614952119966,0.042897685455983166
408,0.0428160615136216,0.042816061514699834,0.042816061522583215,0.042816061576317996,0.04281606184572873,0.042816062893673436,0.042816066228363266,0.042816075265798385,0.04281609676902795,0.04281614274562427,0.04281623269586757,0.04281639603726863,0.042816674499762064,0.04281712429080571,0.042817817862562016,0.042818845162613875,0.04282031430407429
409,0.042724401086029616,0.042724401088316814,0.04272440110426271,0.042724401206321753,0.042724401691513945,0.04272440349556207,0.042724409018062424,0.042724423489520526,0.0427244569217512,0.042724526566166855,0.04272465969945427,0.04272489649145521,0.042725292695206245,0.04272592192767414,0.042726877366954616,0.04272827276133312,0.04273024271424885
410,0.04263278550498928,0.04263278550974419,0.04263278554134564,0.042632785731601404,0.04263278659051843,0.04263278964719428,0.042632798658447595,0.04263282151257133,0.042632872819665976,0.04263297702959172,0.042633171803884776,0.042633511316344214,0.042634069169633394,0.04263494067593737,0.04263624433597767,0.04263812244193146,0.042640740811365055
411,0.04256737332655745,0.04256737333611363,0.042567373396705334,0.04256737374083877,0.0425673752197785,0.042567380267711404,0.04256739462504943,0.042567429921531036,0.04256750702897971,0.04256765991301722,0.042567939600246574,0.04256841785295192,0.04256919019544418,0.04257037803642389,0.04257212974970478,0.04257462068746437,0.04257805219133426
412,0.042501984131998835,0.04250198415114566,0.042501984266839134,0.04250198488691165,0.04250198742432537,0.04250199573276787,0.042502018535820155,0.04250207288670128,0.04250218844269062,0.04250241213623914,0.04250281273187286,0.04250348477984209,0.042504551583658096,0.04250616694645512,0.042508515612624496,0.04251181245095597,0.04251630052119309
413,0.042423547499671206,0.042423547536961995,0.04242354775186249,0.04242354884140001,0.0424235530954595,0.04242356648149459,0.04242360198643096,0.0424236841395741,0.042423854326882546,0.042424176301615754,0.042424741247548685,0.04242567183982084,0.042427124921273346,0.04242929261140101,0.0424324018475353,0.042436712499364024,0.042442514290532696
414,0.042358209018007555,0.04235820908866746,0.04235820947736787,0.04235821134590282,0.04235821832064535,0.04235823944687176,0.04235829367778118,0.04235841564623048,0.04235866210488314,0.042359118239797475,0.04235990308735175,0.04236117346161291,0.042363126048461576,0.04236599757344166,0.04237006315731417,0.04237563311721801,0.04238304855150016
415,0.04229289365120182,0.04229289378063834,0.0422928944613625,0.04229289757290856,0.04229290870338297,0.04229294122261369,0.04229302215402952,0.04229319934710003,0.042293549065780534,0.042294182989266335,0.042295253751772684,0.04229695843191416,0.04229953973223973,0.04230328488586599,0.04230852254791961,0.042315618063959747,0.04232496756467505
416,0.04222760143695271,0.04222760166575291,0.042227602818270406,0.0422276078425159,0.04222762510948893,0.042227673874374344,0.042227791753598136,0.042228043400779076,0.04222852919234317,0.04222939271925644,0.042230826148203664,0.042233072918971805,0.042236427653372946,0.04224123348199921,0.04224787721529078,0.0422567828968333,0.04226840430014023
417,0.04217538434064962,0.042175384729503274,0.04217538660989715,0.04217539445350563,0.042175420423588676,0.042175491487697885,0.042175658678254686,0.04217600730007432,0.042176666575369934,0.04217781735239715,0.04217969693272428,0.04218260059985479,0.04218687990947204,0.042192938150928984,0.04220122359249314,0.04221222119740688,0.042226443477632845
418,0.04211013388340582,0.042110134519909706,0.0421101374816773,0.042110149340080755,0.04211018726704776,0.04211028805031686,0.04211051926807939,0.04211099098508174,0.042111866144948454,0.04211336816238602,0.0421157848278841,0.042119468286124666,0.04212483137995981,0.04213234099998887,0.04214250924770171,0.04215588324468007,0.042173034348442176
419,0.042057950211429614,0.04205795122836963,0.04205795578806606,0.042057973346872855,0.04205802768704591,0.042058168114537484,0.04205848266886976,0.04205911122224187,0.042060256345909715,0.042062190388430516,0.04206525801344968,0.04206987420506234,0.04207651831196186,0.04208572502602046,0.04209807330493454,0.04211417420973234,0.042134658496573135
