Wavelength,EWT_0.001,EWT_0.011,EWT_0.021,EWT_0.031,EWT_0.041
2288,0.016535486998759893,0.016453394853694257,0.016406237831914215,0.016379006684755122,0.016363208353421945
2289,0.01651805693063264,0.01643889600224524,0.016393525286442383,0.01636738467477899,0.016352253161583147
2290,0.016501303548278404,0.016424731515512814,0.01638097610925068,0.0163558412930416,0.016341335132781187
2291,0.016487860181750837,0.01641252335126835,0.016369589532715414,0.01634499230413678,0.016330833848215612
2292,0.01647223944044227,0.016399047093544433,0.016357462078091994,0.016333709446846697,0.016320078136001833
2293,0.016458626582497922,0.01638679646051755,0.016346084366156817,0.016322886232029283,0.016309604903055063
2294,0.016444029010328064,0.016373958622301177,0.016334356632186724,0.016311854600380944,0.01629900784341587
2295,0.016430603111246837,0.016361818627664608,0.016323046897001786,0.016301074725072248,0.016288563289469513
2296,0.016416577374689847,0.01634931325729155,0.016311515921999163,0.016290161673234525,0.01627803911449682
2297,0.016401707953653002,0.016336474522908793,0.016299876701389743,0.016279233175177,0.01626753284291876
2298,0.016388844079306433,0.016324451930237086,0.01628852649509749,0.016268373100979103,0.01625701231825996
2299,0.016375162404315795,0.016312285579858234,0.016277272077359312,0.016257667352312186,0.01624663666092291
2300,0.016362167208079845,0.016300397819563044,0.01626611701684481,0.016246986574123837,0.016236258308036825
2301,0.016348665345290506,0.016288316958087346,0.016254904242266065,0.016236302184542577,0.016225894681787145
2302,0.016334961637450914,0.01627606635753066,0.016243565945643353,0.016225531070171485,0.01621547369323078
2303,0.01631318991762492,0.01625502105710546,0.016223001062277444,0.01620527631820028,0.01619541587897723
2304,0.016301592249807238,0.016243951056234617,0.016212331097313765,0.016194887421011748,0.016185216017811074
2305,0.016290585361622062,0.016233295239281416,0.01620194023601107,0.01618468201937344,0.016175134925584055
2306,0.01627899137005253,0.01622202859588998,0.01619105677347837,0.01617411931650576,0.01616480925210571
2307,0.016268551530576502,0.016211676004316174,0.016180831495982713,0.01616400654655106,0.01615478152170915
2308,0.016259458246647047,0.016201987530615247,0.01617093387028449,0.016154055398786452,0.016144833574177335
2309,0.01624982508941628,0.01619200807600187,0.01616087982208391,0.01614402063886437,0.0161348414237106
2310,0.01624046788301322,0.01618217720454093,0.01615090766563572,0.01613403217744348,0.016124876229200346
2311,0.016232502942306076,0.016173121094602335,0.016141370049510127,0.016124289296667,0.016115050938397074
2312,0.016224549743597935,0.016163966530962876,0.016131725065247463,0.016114460106027642,0.0161051642079998
2313,0.01621664924090121,0.01615495055562646,0.016122214774190062,0.016104736895539772,0.01609535360185133
2314,0.016208431857242554,0.0161454577386828,0.01611228869187263,0.016094705927991605,0.01608533257560944
2315,0.016201775489793326,0.016137098122542888,0.016103130181104614,0.016085174408516294,0.016075628414158074
2316,0.016193365285625202,0.016127710724563635,0.016093373544739865,0.016075296754707636,0.016065724981571848
2317,0.01618528601443305,0.016118543736990214,0.016083759341465134,0.016065509476751293,0.016055878332954642
2318,0.016177838289082938,0.016109645846775014,0.016074256687695847,0.01605576657614592,0.016046048335749782
2319,0.01617138777025954,0.01610128963572509,0.01606505146104017,0.01604618868964074,0.016036310904123975
2320,0.016162760989269064,0.016091768836108293,0.016055221062118683,0.016036274524187946,0.01602639250385799
2321,0.016153521581064763,0.016082023232282985,0.016045322219772715,0.016026350573843506,0.016016483219024647
2322,0.016145829232707916,0.016072680405168755,0.01603543400728549,0.01601633187070676,0.016006473378359164
2323,0.016147417346678017,0.016073245589895327,0.01603560035361631,0.016016354570912942,0.016006452655081545
