Wavelength,DMC_0.001,DMC_0.002,DMC_0.003,DMC_0.004,DMC_0.005,DMC_0.006,DMC_0.007,DMC_0.008,DMC_0.009,DMC_0.01,DMC_0.011,DMC_0.012,DMC_0.013,DMC_0.014,DMC_0.015,DMC_0.016,DMC_0.017,DMC_0.018,DMC_0.019,DMC_0.02,DMC_0.021,DMC_0.022,DMC_0.023,DMC_0.024,DMC_0.025,DMC_0.026,DMC_0.027,DMC_0.028,DMC_0.029,DMC_0.03,DMC_0.031,DMC_0.032,DMC_0.033,DMC_0.034,DMC_0.035,DMC_0.036,DMC_0.037,DMC_0.038,DMC_0.039,DMC_0.04,DMC_0.041,DMC_0.042,DMC_0.043,DMC_0.044,DMC_0.045,DMC_0.046,DMC_0.047,DMC_0.048,DMC_0.049
400,0.04308940747874146,0.04308688335943199,0.04308493201123106,0.043083422304861646,0.04308225342741128,0.04308134779671786,0.04308064565194524,0.04308010091846462,0.043079678042963684,0.04307934956831025,0.043079094273199295,0.0430788957435447,0.04307874127431258,0.04307862102455234,0.043078527366649466,0.043078454384716386,0.043078397487616174,0.043078353110180934,0.04307831848234601,0.043078291450629136,0.04307827033998764,0.04307825384684706,0.04307824095621285,0.04307823087740189,0.0430782229941806,0.043078216826057183,0.043078211998215515,0.043078208218148506,0.043078205257488386,0.043078202937870735,0.04307820111993125,0.043078199694736787,0.04307819857710907,0.04307819770042053,0.04307819701253606,0.04307819647264675,0.04307819604879875,0.04307819571596379,0.04307819545453193,0.04307819524913392,0.0430781950877205,0.043078194960842475,0.043078194861087604,0.043078194782639835,0.04307819472093437,0.04307819467238749,0.04307819463418503,0.043078194604116514,0.04307819458044526
401,0.043088186343496086,0.04308604803314456,0.043084371019686644,0.043083054901217416,0.04308202134414637,0.043081209179432076,0.04308057060175327,0.04308006822018235,0.04307967276711252,0.04307936131668376,0.04307911589803674,0.043078922414877575,0.04307876980293633,0.04307864937237328,0.043078554294111,0.04307847919827418,0.043078419860031254,0.043078372953634904,0.043078335859721435,0.043078306514234624,0.04307828328990582,0.04307826490321635,0.04307825034131918,0.04307823880460454,0.043078229661535114,0.04307822241311032,0.043078216664892144,0.0430782121049721,0.04307820848660922,0.043078205614542085,0.043078203334192516,0.043078201523146176,0.043078200084427025,0.04307819894118558,0.04307819803250213,0.04307819731006951,0.04307819673557008,0.04307819627860092,0.0430781959150319,0.04307819562570607,0.04307819539541044,0.04307819521206074,0.04307819506605543,0.043078194949763664,0.04307819485711923,0.04307819478329859,0.04307819472446539,0.04307819467756767,0.043078194640176946
402,0.0430872464043262,0.04308540595384437,0.04308394272849167,0.04308277872028712,0.043081852212597305,0.0430811143403893,0.04308052638564087,0.04308005764864376,0.04307968377096369,0.04307938541301387,0.04307914721034329,0.04307895694920553,0.04307880491481389,0.043078683375713696,0.04307858617554127,0.0430785084095744,0.04307844616828746,0.04307839633389663,0.043078356418843014,0.04307832443749046,0.04307829880414749,0.043078278251966064,0.04307826176840767,0.04307824854386509,0.04307823793073681,0.04307822941081122,0.04307822256926091,0.04307821707389755,0.04307821265861584,0.04307820911017471,0.04307820625763863,0.04307820396394015,0.04307820211913495,0.04307820063500752,0.04307819944075572,0.0430781984795368,0.043078197705702224,0.043078197082582974,0.04307819658071522,0.04307819617641826,0.04307819585065455,0.04307819558811541,0.04307819537648762,0.043078195205864915,0.043078195068275614,0.04307819495730332,0.04307819486778234,0.04307819479555295,0.04307819473726479
403,0.04308652829357444,0.04308492086429205,0.04308362599035787,0.04308258235191459,0.04308174077911302,0.04308106181805434,0.04308051379036512,0.04308007124491926,0.04307971372140596,0.04307942476212881,0.04307919112158363,0.043079002133757725,0.04307884920531429,0.043078725409334294,0.0430786251594474,0.043078543948277245,0.04307847813737799,0.04307842478842481,0.04307838152747848,0.043078346435783336,0.043078317961864704,0.0430782948507348,0.043078276086848465,0.043078260848116,0.04307824846881228,0.04307823840964756,0.04307823023360642,0.04307822358643487,0.043078218180874726,0.04307821378392052,0.043078210206515456,0.04307820729521631,0.043078204925448615,0.04307820299604669,0.0430782014248322,0.043078200145032546,0.04307819910237849,0.043078198252751575,0.04307819756027645,0.043078196995773574,0.043078196535503814,0.04307819616014961,0.043078195853987755,0.04307819560421783,0.04307819540041651,0.04307819523409438,0.043078195098335624,0.043078194987505196,0.04307819489701071
404,0.0430860652139189,0.04308462645799693,0.04308345285086184,0.04308249508648956,0.04308171311961285,0.04308107440692919,0.04308055248649302,0.043080125829362104,0.043079776910620815,0.04307949145732676,0.043079257839261795,0.043079066575040306,0.04307890993147449,0.043078781598385955,0.0430786764244977,0.043078590202809804,0.043078519496090185,0.04307846149490603,0.043078413902067986,0.04307837483852553,0.04307834276669423,0.043078316427956106,0.04307829479168999,0.043078277013686245,0.04307826240220351,0.04307825039025149,0.043078240512948535,0.04307823238901769,0.043078225705658925,0.043078220206176944,0.04307821567985897,0.04307821195369045,0.043078208885572566,0.04307820635876751,0.04307820427734778,0.04307820256246679,0.043078201149301686,0.043078199984546386,0.04307819902435528,0.043078198232656045,0.04307819757976492,0.043078197041249974,0.043078196596997624,0.04307819623044591,0.0430781959279546,0.04307819567828748,0.043078195472186886,0.04307819530202381,0.043078195161510215
405,0.04308594863640138,0.04308460246767198,0.043083491930993166,0.04308257540428649,0.043081818692330666,0.04308119368654609,0.043080677269682885,0.04308025042002863,0.04307989747829457,0.043079605547246075,0.04307936399973263,0.04307916407530118,0.0430789985492496,0.04307886146095864,0.04307874789076299,0.04307865377659271,0.04307857576321969,0.04307851107825037,0.04307845743007076,0.043078412923819004,0.043078375992170036,0.04307834533829652,0.043078319888844314,0.04307829875514827,0.043078281201231756,0.0430782666173931,0.04307825449839546,0.0430782444254512,0.0430782360513353,0.04307822908808023,0.043078223296801034,0.04307821847927924,0.04307821447099931,0.04307821113538511,0.04307820835902821,0.043078206047736094,0.04307820412325857,0.04307820252057508,0.04307820118564631,0.04307820007355005,0.04307819914693533,0.04307819837473999,0.04307819773112672,0.04307819719460003,0.04307819674727321,0.04307819637425966,0.043078196063167463,0.04307819580367943,0.04307819558720424
406,0.0429942877168076,0.04299298369472804,0.04299189724317889,0.042990991724499744,0.042990236734302134,0.042989607028778944,0.0429890816389879,0.042988643139049945,0.04298827704114266,0.04298797129502227,0.04298771587377692,0.042987502430763935,0.04298732401534691,0.04298717483723282,0.042987050071002356,0.04298694569389994,0.0429868583511612,0.04298678524415222,0.04298672403741571,0.042986672781395424,0.04298662984816781,0.042986593877970075,0.042986563734693437,0.042986538468824616,0.042986517286577465,0.042986499524171766,0.04298648462639327,0.04298647212871636,0.04298646164239249,0.042986452842008215,0.042986445455100726,0.04298643925348785,0.0429864340460274,0.04298642967256841,0.04298642599889661,0.04298642291250964,0.042986420319084694,0.04298641813952447,0.04298641630748602,0.042986414767313075,0.042986413472305474,0.04298641238327054,0.04298641146731002,0.04298641069680409,0.04298641004856034,0.04298640950310059,0.042986409044063256,0.04298640865770235,0.04298640833246741
407,0.04290269343304249,0.04290142718318599,0.042900362295363065,0.04289946644700183,0.0428987125583302,0.04289807793203202,0.04289754353593295,0.04289709340458929,0.04289671413978967,0.04289639449339358,0.042896125018752104,0.04289589777928805,0.042895706104743324,0.04289554438719984,0.04289540791030588,0.04289529270623851,0.0428951954358459,0.04289511328817097,0.04289504389618813,0.042894985266109055,0.04289493571804978,0.04289489383621465,0.04289485842705546,0.042894828484116694,0.04289480315848826,0.04289478173396306,0.042894763606143305,0.042894748264862594,0.04289473527939268,0.042894724285990324,0.04289471497741079,0.042894707094074974,0.04289470041662728,0.042894694759663586,0.04289468996644389,0.042894685904433946,0.042894682461544875,0.042894679542960786,0.04289467706846172,0.042894674970164116,0.0428946731906132,0.04289467168117212,0.042894670400661396,0.04289466931420945,0.04289466839228143,0.04289466760985827,0.04289466694574284,0.042894666381973215,0.0428946659033265
408,0.0428242442994967,0.04282301647378838,0.04282197446602947,0.04282108988618166,0.04282033872791205,0.04281970068365817,0.04281915856813577,0.04281869783286351,0.04281830615712619,0.04281797310317109,0.042817689825411884,0.042817448825067314,0.04281724374304322,0.04281706918502122,0.04281692057368373,0.04281679402381444,0.042816686236691284,0.04281659441075742,0.04281651616603308,0.04281644948013132,0.04281639263407704,0.04281634416641168,0.04281630283430329,0.042816267580582115,0.042816237505789834,0.04281621184447265,0.0428161899450678,0.04281617125283373,0.04281615529535932,0.04281614167025888,0.042816130034720484,0.04281612009662614,0.04281611160700532,0.04281610435362014,0.042816098155511025,0.042816092858358024,0.04281608833053472,0.04281608445975074,0.0428160811501942,0.04281607832009929,0.042816075899675156,0.04281607382934216,0.042816072058229473,0.04281607054289509,0.04281606924623509,0.04281606813655403,0.04281606718677239,0.0428160663737509,0.04281606567771427
409,0.04273278261930615,0.04273158419200327,0.04273055861244503,0.0427296807096373,0.042728929017704816,0.04272828522391837,0.04272773370006581,0.04272726110439113,0.04272685604331795,0.04272650878384885,0.0427262110089424,0.04272595560935738,0.04272573650645519,0.04272554850129615,0.04272538714607824,0.04272524863456924,0.042725129708692064,0.042725027578853735,0.04272493985597239,0.04272486449346522,0.04272479973772159,0.042724744085806586,0.04272469624932834,0.04272465512356152,0.042724619761054586,0.042724589349063216,0.04272456319024979,0.04272454068617175,0.042724521323152034,0.04272450466018478,0.04272449031858051,0.04272447797309838,0.04272446734435011,0.04272445819229162,0.04272445031064544,0.042724443522119494,0.042724437674307926,0.04272443263617556,0.04272442829504258,0.042724424553997456,0.042724421329677034,0.04272441855036116,0.042724416154337023,0.04272441408849476,0.042724412307121394,0.04272441077086483,0.04272440944584392,0.042724408302883744,0.0427244073168584
