Wavelength	MCL_ARB_055_nnn_210407_L00000.asd
350	 1.38338826039922E-02 
351	 1.73096333387838E-03 
352	 2.53917322072122E-02 
353	-0.060410629020166 
354	 1.80778490321817E-02 
355	 1.60432594132186E-02 
356	-0.083979858546317 
357	 6.55083904211682E-02 
358	-6.85106823357275E-03 
359	-0.116462052971617 
360	-0.058663095919148 
361	 0.106386694166946 
362	 0.110283258673392 
363	 1.02827610847417E-02 
364	-1.23385500783197E-02 
365	 2.83595638060518E-02 
366	 3.70558983493819E-02 
367	 1.46660119027835E-02 
368	 6.11097173169699E-02 
369	 6.65487760616005E-02 
370	 0.055288095105925 
371	 5.29554982723508E-02 
372	 1.49925220804899E-02 
373	 8.07310808461262E-03 
374	 3.43812408241524E-02 
375	 6.42240023631662E-02 
376	 9.36334746224727E-02 
377	 9.00534685116774E-02 
378	 5.99338533568947E-02 
379	 5.44200332046237E-02 
380	 5.94006059601522E-02 
381	 6.61951922742223E-02 
382	 7.10290266516094E-02 
383	 8.40879001149399E-02 
384	 9.22102480053748E-02 
385	 9.41969154853623E-02 
386	 0.092021281883025 
387	 6.81413879498725E-02 
388	 5.77325967059153E-02 
389	 0.069263813069645 
390	 7.82092662293915E-02 
391	 8.19197471852627E-02 
392	 7.35468731440681E-02 
393	 5.66425586417549E-02 
394	 6.14936262781978E-02 
395	 6.85453919003157E-02 
396	 6.34676284130994E-02 
397	 4.35376269996292E-02 
398	 5.65847992455166E-02 
399	 7.13235557884872E-02 
400	 7.32824732220246E-02 
401	 7.34351928711533E-02 
402	 7.68559708627189E-02 
403	 7.25915600508427E-02 
404	 6.08916973030614E-02 
405	 8.03444777293981E-02 
406	 8.12082653210039E-02 
407	 7.23478646444942E-02 
408	 8.07117640858351E-02 
409	 7.95171909660162E-02 
410	 8.40949446955967E-02 
411	 9.30938053234663E-02 
412	 8.54152491513236E-02 
413	 7.42829316243747E-02 
414	 7.40228320827349E-02 
415	 0.085980477797108 
416	 7.82984061859764E-02 
417	 7.76820181449853E-02 
418	 8.31425760787488E-02 
419	 8.25920218690113E-02 
420	 0.081534603494045 
421	 7.75735692320154E-02 
422	 7.43663954553315E-02 
423	 0.083258565167027 
424	 8.45513837628559E-02 
425	 8.52923884844567E-02 
426	 9.09291107342955E-02 
427	 8.20013707130612E-02 
428	 0.082786425499036 
429	 9.07446049501763E-02 
430	 9.05823779587545E-02 
431	 9.12049423722976E-02 
432	 9.15394973762105E-02 
433	 9.08817118804159E-02 
434	 9.03416954991604E-02 
435	 9.05957999827436E-02 
436	 0.089273666715148 
437	 0.085803681702176 
438	 8.88789269967292E-02 
439	 9.44635496409109E-02 
440	 9.71760463955643E-02 
441	 9.24607301136004E-02 
442	 9.44388305795682E-02 
443	 0.093920774614845 
444	 8.84573001807081E-02 
445	 9.45427461408672E-02 
446	 9.72205177420072E-02 
447	 9.64347358102587E-02 
448	 9.63703205874126E-02 
449	 9.68629204723394E-02 
450	 9.62015838204272E-02 
451	 9.54048679388729E-02 
452	 0.097698912273829 
453	 9.62989945086035E-02 
454	 9.59504261561076E-02 
455	 9.91205704566906E-02 
456	 9.71090581397559E-02 
457	 9.70561529434684E-02 
458	 9.77846424251548E-02 
459	 9.58020303528255E-02 
460	 9.91068873546492E-02 
461	 0.100560556559138 
462	 9.80522243771844E-02 
463	 9.71701787918952E-02 
464	 0.098212279115648 
465	 0.098876712556865 
466	 9.77437370477298E-02 
467	 9.89523318860724E-02 
468	 0.100134360231573 
469	 9.98779935463682E-02 
470	 0.097829761945448 
471	 9.70217332606414E-02 
472	 9.72246679225478E-02 
473	 9.77394268148674E-02 
474	 9.79674411801136E-02 
475	 9.71130046266421E-02 
476	 9.62022763253824E-02 
477	 9.65185219412286E-02 
478	 9.74324911577184E-02 
479	 9.81828284478908E-02 
480	 9.85420060844594E-02 
481	 9.87664847672931E-02 
482	 9.87743246783911E-02 
