Wavelength	MAC_ARB_099_339_210422_L00003.asd
350	 7.98452394802618E-02 
351	-8.67684579311333E-02 
352	-3.31836919770865E-02 
353	-0.262000572053901 
354	-0.104663252006719 
355	 0.129570375325697 
356	 0.231641379680763 
357	 0.30967805795144 
358	 9.53291742676648E-02 
359	-3.54066780192274E-02 
360	 0.130591046703402 
361	 3.57757389714909E-02 
362	-0.013136779439712 
363	 3.37080347635256E-02 
364	 0.108444772040666 
365	 7.10880105708948E-02 
366	 4.40675400072499E-02 
367	 6.43553855841514E-02 
368	 5.04415694472877E-02 
369	 5.11200123518927E-03 
370	-1.78426558943978E-02 
371	 1.07115380015021E-02 
372	 2.01300329477704E-02 
373	 3.91910966814534E-02 
374	 5.63510150595486E-02 
375	 4.48342185439074E-02 
376	 3.99394362385767E-02 
377	 4.02322885560228E-02 
378	 5.37830050920513E-02 
379	 0.101835899747089 
380	 8.26626955050604E-02 
381	 3.17252055821163E-02 
382	 8.66906066481915E-03 
383	 4.76612110821849E-02 
384	 4.10776836152965E-02 
385	 1.19500715945838E-02 
386	 3.33783277023979E-02 
387	 0.053530346295935 
388	 5.39705967966635E-02 
389	 0.043162698641778 
390	 5.39378433570819E-02 
391	 0.072934416360386 
392	 0.066790542505901 
393	 3.22297275051071E-02 
394	 4.73729209367507E-02 
395	 0.061176305551669 
396	 0.063966751004658 
397	 6.27207079579803E-02 
398	 5.05420266571437E-02 
399	 5.30883350635006E-02 
400	 6.91254277086535E-02 
401	 6.98401285637838E-02 
402	 7.08733697547691E-02 
403	 6.36777121225735E-02 
404	 4.93179526113185E-02 
405	 6.54166951924525E-02 
406	 6.01670590349094E-02 
407	 4.82309365044113E-02 
408	 6.26840079898784E-02 
409	 6.65781533501506E-02 
410	 6.27645658705149E-02 
411	 5.67938305466818E-02 
412	 5.37671348698201E-02 
413	 5.61004518714817E-02 
414	 5.71891811949568E-02 
415	 5.36142132559374E-02 
416	 5.47219403193472E-02 
417	 5.40032988847266E-02 
418	 5.53509061860174E-02 
419	 6.39980495557929E-02 
420	 6.15578520069122E-02 
421	 5.82838218627328E-02 
422	 5.96489821404436E-02 
423	 6.25964160425843E-02 
424	 0.059862881220893 
425	 5.78320926388484E-02 
426	 6.16836091634781E-02 
427	 6.50703957689914E-02 
428	 6.04976741573737E-02 
429	 5.45176102981959E-02 
430	 5.90066756669575E-02 
431	 6.29778329116346E-02 
432	 6.67094912683652E-02 
433	 6.87426221213237E-02 
434	 6.30228605712342E-02 
435	 6.21395987737133E-02 
436	 6.26007176482805E-02 
437	 5.97729334417316E-02 
438	 6.21349902091046E-02 
439	 6.42157554989032E-02 
440	 6.47509958657266E-02 
441	 6.55974681892278E-02 
442	 6.75993534496584E-02 
443	 0.06791453853662 
444	 6.54809369005453E-02 
445	 6.29546160848758E-02 
446	 6.42234533440584E-02 
447	 6.69554480698911E-02 
448	 6.73660062346781E-02 
449	 6.67182501208279E-02 
450	 6.67099794444966E-02 
451	 6.69783777882903E-02 
452	 6.54091216813971E-02 
453	 0.064430787804423 
454	 6.55824986635933E-02 
455	 6.82714678589477E-02 
456	 6.71449792921263E-02 
457	 6.62908242845312E-02 
458	 0.066759759212467 
459	 6.80892500085755E-02 
460	 6.96518719850213E-02 
461	 6.92871413780715E-02 
462	 6.72801021938173E-02 
463	 6.70351337195589E-02 
464	 6.73508847621419E-02 
465	 6.68347710360281E-02 
466	 0.065462798921535 
467	 6.82532179744909E-02 
468	 0.069698140989104 
469	 6.87126015721075E-02 
470	 6.73885223599117E-02 
471	 6.83861099484694E-02 
472	 6.94234572396148E-02 
473	 6.86949468249425E-02 
474	 0.066215307361777 
475	 6.61948083006398E-02 
476	 6.73193916202718E-02 
477	 6.73781102631548E-02 
478	 6.98811119096105E-02 
479	 0.070838834102249 
480	 6.97182468586346E-02 
481	 0.069259245490471 
482	 6.70866108614176E-02 
483	 6.63210166602047E-02 
484	 6.83616742695773E-02 
485	 6.79340500405052E-02 
486	 6.72884764693332E-02 
487	 6.78547251991989E-02 
488	 7.00076415249442E-02 
489	 6.90245943990791E-02 
490	 6.85912050747094E-02 
491	 7.00114336198122E-02 
492	 7.04777605053626E-02 
493	 6.99838986764723E-02 
494	 6.89457327874855E-02 
495	 6.80199524631064E-02 
496	 6.79381230851414E-02 
497	 6.78369658890423E-02 
498	 6.78653368953028E-02 
499	 6.88147683770679E-02 
500	 7.00576507711834E-02 
501	 7.04560713353442E-02 
502	 7.01265399315015E-02 
503	 7.18688141103664E-02 
504	 7.29904090652426E-02 
505	 7.28107144556066E-02 
506	 7.18723873986486E-02 
507	 0.072990030973481 
508	 7.42082799722324E-02 
509	 7.48786554212636E-02 
510	 7.60510708718586E-02 
511	 7.68747589202391E-02 
512	 7.72591288301439E-02 
513	 7.74450002249535E-02 
514	 7.80814305061511E-02 
515	 0.078889109831581 
516	 8.01601464028809E-02 
517	 8.23508826440012E-02 
518	 8.42123990541297E-02 
519	 8.67752850059128E-02 
520	 8.99224903167999E-02 
521	 9.11475704687549E-02 
522	 9.24053418105524E-02 
523	 9.37014577271389E-02 
524	 9.48655702715849E-02 
525	 9.78620370199623E-02 
526	 0.100472563228992 
527	 0.101958656458336 
528	 0.10315978898008 
529	 0.105711007718424 
530	 0.10813007046663 
531	 0.109299615487184 
532	 0.110703868204034 
533	 0.111719554274596 
534	 0.112899122713014 
535	 0.115101919524231 
536	 0.116911578540065 
537	 0.117648345669522 
538	 0.117812838831317 
539	 0.119514627725402 
540	 0.12041050641219 
541	 0.121399988048828 
542	 0.123508863257685 
543	 0.124236971080265 
544	 0.124343572705513 
545	 0.12456901714322 
546	 0.125486734249905 
547	 0.126889547501029 
548	 0.127788532912437 
549	 0.127813853352239 
550	 0.128431014433146 
551	 0.128767789998591 
552	 0.128977758696953 
553	 0.129520049954517 
554	 0.129413424607164 
555	 0.129360402780833 
556	 0.129525516360842 
557	 0.129095145906692 
558	 0.128156776839992 
559	 0.12736876187608 
560	 0.12707175026364 
561	 0.12552208526994 
562	 0.124449693696276 
563	 0.123934415365739 
564	 0.122704456083817 
565	 0.121615270340804 
566	 0.120846362750473 
567	 0.120184571669885 
568	 0.118698386127585 
569	 0.117443229144178 
570	 0.116513746427811 
571	 0.115480079461759 
572	 0.113493869785745 
573	 0.111847481034275 
574	 0.11094870104932 
575	 0.109730628189779 
576	 0.108479536511978 
577	 0.107240981511289 
578	 0.106120931803711 
579	 0.105624583862923 
580	 0.105019725066816 
581	 0.104340512008541 
582	 0.104133037079099 
583	 0.103062573706475 
584	 0.102060814555764 
585	 0.101711688659685 
586	 0.101055790530135 
587	 0.100386281970125 
588	 0.099912584606997 
589	 9.96727875071169E-02 
590	 9.85878434070157E-02 
591	 9.82575395464398E-02 
592	 9.85948310821781E-02 
593	 9.72322795364214E-02 
594	 0.096882937136778 
595	 9.72578291530705E-02 
596	 9.73147022413771E-02 
597	 9.60839563786556E-02 
598	 9.57923220258579E-02 
599	 9.63743904906458E-02 
600	 9.61968345184151E-02 
601	 9.55582872414352E-02 
602	 9.51291835415369E-02 
603	 9.50741838387374E-02 
604	 9.44531814986995E-02 
605	 9.34051238023363E-02 
606	 9.27351382597071E-02 
607	 9.30843431896209E-02 
608	 0.092639776541377 
609	 9.18159916205774E-02 
610	 9.09682661955711E-02 
611	 9.02243826054754E-02 
612	 8.96974864190412E-02 
613	 8.87587298134778E-02 
614	 8.73362296524454E-02 
615	 8.76736706624857E-02 
616	 8.73593395016511E-02 
617	 8.60621627998735E-02 
618	 8.48240050273228E-02 
619	 8.48636710285259E-02 
620	 8.48222980093651E-02 
621	 8.40177338218972E-02 
622	 8.34062600205448E-02 
623	 8.39256176348863E-02 
624	 8.45015624363693E-02 
625	 8.38474413613608E-02 
626	 8.31581828319474E-02 
627	 8.29512235346005E-02 
628	 8.33280601711755E-02 
629	 8.39600416319147E-02 
630	 8.36492081003147E-02 
631	 8.31543049708332E-02 
632	 8.30465560248187E-02 
633	 8.22531917348003E-02 
634	 8.20348760991191E-02 
635	 0.082283407460021 
636	 8.22405764861086E-02 
637	 8.18193851807121E-02 
638	 8.10494552977648E-02 
639	 8.02148593224515E-02 
640	 7.99039341261294E-02 
641	 7.98358416267125E-02 
642	 7.92242811478305E-02 
643	 7.77466564228621E-02 
644	 7.72593397937744E-02 
