Wavelength	MCL_ARB_055_234_210422_L00002.asd
350	 7.37974023206452E-02 
351	-0.357197474878684 
352	-0.788610497427018 
353	 9.52486535482434E-03 
354	-3.10270785609268E-02 
355	-0.217221345935577 
356	-0.236067749097804 
357	-3.68724675111565E-03 
358	 7.35135448266723E-02 
359	-4.16148593231922E-03 
360	-0.139417595304055 
361	-3.35435125252264E-02 
362	 6.01389954398466E-03 
363	 5.63361313877365E-03 
364	 0.05866318711872 
365	 4.42446738689832E-02 
366	 7.10429138335998E-02 
367	 0.12155334744662 
368	 3.09120408013354E-02 
369	 3.26125798196429E-02 
370	 7.32979192494674E-02 
371	 7.67614773089034E-02 
372	 4.52837240794648E-02 
373	 4.50725331004479E-02 
374	 0.074598417187194 
375	 0.093846154929375 
376	 4.98370116287774E-02 
377	 3.66297010444719E-02 
378	 6.74696891469675E-02 
379	 6.33504886451541E-02 
380	 6.96807341904852E-02 
381	 7.84858987676898E-02 
382	 7.91941131683655E-02 
383	 8.01621471017715E-02 
384	 6.49624346470049E-02 
385	 4.67637022344392E-02 
386	 4.59654456603268E-02 
387	 4.15240778702319E-02 
388	 3.50463573806568E-02 
389	 3.55161263790565E-02 
390	 5.55341653964709E-02 
391	 6.17987116942935E-02 
392	 0.0563170493692 
393	 5.21872881471756E-02 
394	 7.25147467143581E-02 
395	 8.57547708848179E-02 
396	 9.20353381108603E-02 
397	 0.100649035863838 
398	 8.82469169424022E-02 
399	 6.70344358375873E-02 
400	 5.30398151058004E-02 
401	 6.24260301981828E-02 
402	 6.98821805481563E-02 
403	 7.31523687747131E-02 
404	 7.23224914449321E-02 
405	 5.67435526648896E-02 
406	 6.56603881542629E-02 
407	 8.13776478772396E-02 
408	 7.11088643423189E-02 
409	 0.075647341167123 
410	 8.10603467204683E-02 
411	 7.79763002453146E-02 
412	 6.70623992087084E-02 
413	 7.18812460994072E-02 
414	 7.69938723011216E-02 
415	 7.03820743664474E-02 
416	 0.068840806652836 
417	 7.42549398612607E-02 
418	 8.16838859625346E-02 
419	 8.39639552580461E-02 
420	 8.55826327563139E-02 
421	 0.080220257432985 
422	 7.15654109976062E-02 
423	 7.52852197443526E-02 
424	 7.84542291538514E-02 
425	 7.95468591273337E-02 
426	 7.93950675601128E-02 
427	 7.74226795836395E-02 
428	 7.50853660606121E-02 
429	 7.51980281748347E-02 
430	 8.01628868786722E-02 
431	 8.36608658338709E-02 
432	 8.26495371197882E-02 
433	 0.078214290311485 
434	 7.60050344547952E-02 
435	 7.51618782560132E-02 
436	 7.52509302258143E-02 
437	 7.59487904309389E-02 
438	 0.078055655568608 
439	 7.70790675423301E-02 
440	 7.46062008448683E-02 
441	 7.59747242157627E-02 
442	 7.94234223346129E-02 
443	 8.02255353636705E-02 
444	 7.71351750282572E-02 
445	 7.55959653607032E-02 
446	 7.59842071608371E-02 
447	 7.79792702199973E-02 
448	 8.03964317206966E-02 
449	 0.081092737505193 
450	 7.96457953768026E-02 
451	 7.80618787558066E-02 
452	 8.01244078519936E-02 
453	 8.01981278374986E-02 
454	 0.081233281360962 
455	 8.43972639189033E-02 
456	 8.24189214844423E-02 
457	 0.080157697454147 
458	 7.88315696517427E-02 
459	 7.84572249729983E-02 
460	 8.27959950503507E-02 
461	 8.43042742822966E-02 
462	 8.11384990872781E-02 
463	 7.97018734366839E-02 
464	 8.12917360965924E-02 
465	 8.28381095686237E-02 
466	 0.081581102415669 
467	 0.07969583200319 
468	 8.01409970977202E-02 
469	 0.081435583704477 
470	 7.97631928767935E-02 
471	 7.87697243331395E-02 
472	 7.78295739734341E-02 
473	 7.69894888567509E-02 
474	 7.85432910109175E-02 
475	 7.89596598925899E-02 
476	 7.80838778213575E-02 
477	 7.73205128429102E-02 
478	 7.96135461617971E-02 
479	 8.11208696726864E-02 
480	 8.06602500755917E-02 
481	 7.97886086565678E-02 
482	 7.98384780981476E-02 
483	 7.98968367708334E-02 
484	 7.93348580614627E-02 
485	 7.96650597691374E-02 
486	 7.77649085149352E-02 
487	 7.59325451716083E-02 
488	 7.79349659212149E-02 
489	 7.82457803922506E-02 
490	 7.90994333343212E-02 
491	 8.03491421215621E-02 
492	 7.78113758067022E-02 
493	 7.77338691341682E-02 
494	 7.96333856704052E-02 
495	 8.10720360331891E-02 
496	 7.95892987023474E-02 
497	 7.85518154628894E-02 
498	 7.85377163194438E-02 
499	 7.82396332101496E-02 
500	 0.080306742714723 
501	 8.13304861489195E-02 
502	 8.00574092422455E-02 
503	 8.12150016878817E-02 
504	 8.15831960791471E-02 
505	 8.15946336729008E-02 
506	 8.25677768114173E-02 
507	 8.32239817003321E-02 
508	 8.41516150983381E-02 
509	 8.52985169726618E-02 
510	 0.085817018446754 
511	 8.53475663888784E-02 
512	 8.62238515363474E-02 
513	 8.93685103580266E-02 
514	 8.98331754446783E-02 
515	 9.07277868363572E-02 
516	 9.23408111284667E-02 
517	 9.35156011275317E-02 
518	 9.59400002387688E-02 
519	 9.77137084304695E-02 
520	 0.098299451829738 
521	 0.100144850209574 
522	 0.101769458445873 
523	 0.1033874820717 
524	 0.105497163316859 
525	 0.107452207556536 
526	 0.109741622803917 
527	 0.112045133248905 
528	 0.113323097271197 
529	 0.114693442363446 
530	 0.116093830828183 
531	 0.117273150908004 
532	 0.118031370668493 
533	 0.119374648887826 
534	 0.120791616720695 
535	 0.121237709194664 
536	 0.122105116109848 
537	 0.122615055634818 
538	 0.122595637519335 
539	 0.123077194998472 
540	 0.123879404348527 
541	 0.124387642367938 
542	 0.124321082043239 
543	 0.125484338004912 
544	 0.12625280240303 
