Wavelength	MAC_ARB_099_355_210514_L00004.asd
350	-0.262455838023349 
351	-0.246443106633463 
352	-0.147150989925195 
353	-0.467924149822459 
354	-0.114150214490122 
355	-4.16765774369735E-03 
356	-3.50691986603103E-02 
357	-0.465420346459313 
358	-0.311436331597214 
359	-0.113716303476225 
360	-0.172826042863152 
361	-8.78974545302535E-02 
362	-0.166494769623659 
363	-0.225310784936796 
364	-1.87145009978792E-03 
365	 0.011594838173384 
366	 2.91499056396817E-02 
367	 8.16019717006895E-02 
368	-2.96944842410394E-02 
369	-6.00220209503409E-02 
370	-9.2440765944234E-03 
371	 5.58968957923427E-02 
372	 3.97076309247251E-02 
373	-6.51887422634449E-03 
374	-2.05311622516651E-02 
375	 4.23149780639469E-02 
376	 4.07772323803825E-02 
377	 4.20596696391317E-02 
378	 6.09442344267458E-02 
379	 3.78510099792808E-02 
380	 1.68361102770027E-02 
381	 2.79771344918089E-02 
382	 6.65225550135279E-02 
383	 5.92312194682187E-02 
384	 5.11035222808249E-02 
385	 4.93536312768368E-02 
386	 4.50500479799301E-02 
387	 4.19844213630675E-02 
388	 0.032015589316326 
389	 0.022866835939832 
390	 3.85260661067668E-02 
391	 4.37630216772034E-02 
392	 0.035922815299778 
393	 2.79074113487493E-02 
394	 0.058505292129448 
395	 6.35309696465021E-02 
396	 4.70770481363094E-02 
397	 3.98045645770367E-02 
398	 4.54291666620563E-02 
399	 5.21776149480031E-02 
400	 5.70356428276418E-02 
401	 6.67723457993859E-02 
402	 6.19098535267115E-02 
403	 5.02927490389621E-02 
404	 4.31276683426374E-02 
405	 0.04773682652322 
406	 5.24349387217574E-02 
407	 5.53765297126394E-02 
408	 5.78666632539509E-02 
409	 5.03426305191068E-02 
410	 5.21660960919649E-02 
411	 6.03543343680804E-02 
412	 0.047285532419211 
413	 4.41979112322143E-02 
414	 4.82583367065744E-02 
415	 5.12654958252286E-02 
416	 4.89520580607309E-02 
417	 5.36432030569974E-02 
418	 0.059162857500547 
419	 5.44779425349198E-02 
420	 5.48399188776713E-02 
421	 5.91724272836011E-02 
422	 6.23671702850624E-02 
423	 5.64417241829122E-02 
424	 0.053616529801631 
425	 5.52309582626606E-02 
426	 5.90598808956494E-02 
427	 6.07078617017116E-02 
