Wavelength	MAC_ARB_099_592_210428_L00001.asd
350	 4.09967600715305E-02 
351	 8.55858987914511E-03 
352	 2.75879952545378E-02 
353	 0.323470376472005 
354	-6.62801081377927E-02 
355	-0.375822189879486 
356	-0.212210592253181 
357	-0.120031636361243 
358	-8.94528277404507E-02 
359	-0.112115088623134 
360	-0.150726814597733 
361	-5.36583374075373E-02 
362	-2.79030269953223E-02 
363	-2.52755876252212E-02 
364	 3.21316904732313E-02 
365	 9.08371791055379E-02 
366	 6.53849132422268E-02 
367	-9.1957778910091E-04 
368	 6.23814075395346E-02 
369	 6.50811547190753E-02 
370	 5.66046060915619E-02 
371	 8.61025075981634E-02 
372	 0.057978025079841 
373	 3.53552057536715E-02 
374	 4.39811655038691E-02 
375	 7.91908834610637E-02 
376	 8.82742562567811E-02 
377	 7.45956077365676E-02 
378	 5.39470801840765E-02 
379	 4.63571633214071E-02 
380	 5.83273734925015E-02 
381	 6.12585433623683E-02 
382	 4.01153382696955E-02 
383	 3.47523053799453E-02 
384	 4.61993618547088E-02 
385	 0.058656863012409 
386	 5.19656893493466E-02 
387	 0.047968562345635 
388	 5.14942823232138E-02 
389	 6.31272315817054E-02 
390	 7.95478408120453E-02 
391	 6.65164402405645E-02 
392	 5.07592510875965E-02 
393	 5.50038949103622E-02 
394	 6.21116056384306E-02 
395	 6.49867591823035E-02 
396	 6.74267658134664E-02 
397	 7.41643434595435E-02 
398	 6.26174588223075E-02 
399	 5.43539181431359E-02 
400	 5.54015958895733E-02 
401	 0.051687444406042 
402	 5.74730279313473E-02 
403	 5.94167555248233E-02 
404	 0.049506654005488 
405	 4.29521911251157E-02 
406	 4.53429255039374E-02 
407	 5.39621533763736E-02 
408	 6.11401422631919E-02 
409	 5.79167794232281E-02 
410	 6.14898026681415E-02 
411	 6.96096109308269E-02 
412	 5.88914099501847E-02 
413	 0.053434756207976 
414	 5.50651381423008E-02 
415	 5.93542568423953E-02 
416	 6.05840202433261E-02 
417	 0.058086869803194 
418	 5.57515962407956E-02 
419	 5.86769042645926E-02 
420	 6.49973273581219E-02 
421	 0.065645018420864 
422	 6.03334140688259E-02 
423	 5.96463406706693E-02 
424	 6.01970017860253E-02 
425	 5.96560734281304E-02 
426	 5.78715344832756E-02 
427	 6.08861678946218E-02 
428	 6.24053893475433E-02 
429	 6.15130680101574E-02 
430	 6.05251936129172E-02 
431	 6.20289555596249E-02 
432	 6.32315210764591E-02 
433	 6.30057511414073E-02 
434	 6.34638603575147E-02 
435	 6.16007942608359E-02 
436	 5.91231487626384E-02 
437	 5.87517282633019E-02 
438	 6.25003313283714E-02 
439	 6.49549068967027E-02 
440	 6.41178060174497E-02 
441	 6.10718399478552E-02 
442	 6.16709980746624E-02 
443	 6.41371900119387E-02 
444	 6.56796179543533E-02 
445	 6.36059520082791E-02 
446	 6.22637884626741E-02 
447	 6.25666014724001E-02 
448	 0.063949031349546 
449	 6.53029599300719E-02 
450	 0.065293879806598 
451	 6.44174928714119E-02 
452	 6.47577992041039E-02 
453	 6.46391212285666E-02 
454	 6.51255223009191E-02 
455	 6.64423182010836E-02 
456	 6.54765030350709E-02 
457	 6.45612300212001E-02 
458	 6.52341109080816E-02 
459	 6.76132667090566E-02 
460	 6.48492968240842E-02 
461	 6.40558451844157E-02 
462	 0.066372825172021 
463	 6.41281813875291E-02 
464	 6.31140275885847E-02 
465	 6.43487712115053E-02 
466	 6.65416905027429E-02 
467	 6.46063406299174E-02 
468	 0.065061527690408 
469	 6.69910555267561E-02 
470	 0.065270916438795 
471	 6.39978225362861E-02 
472	 6.27238143378315E-02 
473	 6.17233561347972E-02 
474	 6.37612740013506E-02 
475	 6.37513095189916E-02 
476	 6.27961290884533E-02 
477	 6.33828837388849E-02 
478	 6.41339858620448E-02 
479	 6.45478485030755E-02 
480	 6.47362879528248E-02 
481	 6.53050822957211E-02 
482	 6.57879810840184E-02 
483	 6.55384946725793E-02 
484	 6.46209833287828E-02 
485	 6.49938881002475E-02 
486	 6.45371363156733E-02 
487	 6.45022823955682E-02 
488	 6.66644806137317E-02 
489	 6.47979648335971E-02 
490	 6.38253597502691E-02 
491	 6.51928140666901E-02 
492	 6.44835957463249E-02 
493	 0.065379315245726 
494	 6.71510072088898E-02 
495	 6.78901500603484E-02 
496	 6.54218303065736E-02 
497	 6.46554231381125E-02 
498	 6.57747050999443E-02 
499	 6.57144960282078E-02 
500	 0.066182517648547 
501	 6.80988912361074E-02 
502	 0.070413358752557 
503	 0.067998106113002 
504	 6.76624663402908E-02 
505	 6.88894879424928E-02 
506	 6.90375140736423E-02 
507	 0.069680282160769 
508	 7.11313599460118E-02 
509	 7.27507340648386E-02 
510	 7.30161135992454E-02 
511	 7.29791076893085E-02 
512	 7.43069787778036E-02 
513	 7.71557220721697E-02 
514	 7.68229190961882E-02 
515	 7.76338294877057E-02 
516	 7.99827820881584E-02 
517	 8.18575998513372E-02 
518	 8.16325772598137E-02 
519	 0.082919277830571 
520	 8.64510608080345E-02 
521	 8.71083518296772E-02 
522	 8.86452357674666E-02 
523	 9.14074072804872E-02 
524	 9.44473578959913E-02 
525	 9.60957934273076E-02 
526	 9.78723118403231E-02 
527	 0.100222413503059 
528	 0.102457651850599 
529	 0.104445229628453 
530	 0.105678900014322 
531	 0.106241197166257 
532	 0.107823106492091 
533	 0.109529140666646 
534	 0.110928194640264 
535	 0.111907588802015 
536	 0.112995871393244 
537	 0.113851130004652 
538	 0.114486385235436 
539	 0.115563629703687 
540	 0.117024115989285 
541	 0.11795228602947 
542	 0.117787899142004 
543	 0.118482262382792 
544	 0.119285706729501 
545	 0.119851696758929 
546	 0.12027367573068 
547	 0.120754975610839 
548	 0.12097797931385 
549	 0.120903889840533 
550	 0.121485649534207 
551	 0.121452538184634 
552	 0.121319467568184 
553	 0.122067516785437 
554	 0.121259484344121 
555	 0.120813778262014 
556	 0.121413857376282 
557	 0.121448966935309 
558	 0.120394451162223 
559	 0.11929043805575 
560	 0.11908586789939 
561	 0.118280409964307 
562	 0.117082493116209 
563	 0.115808553359938 
564	 0.114791858065084 
565	 0.113550720189247 
566	 0.112278094116293 
567	 0.111107472045586 
568	 0.109756958874219 
569	 0.108260091477158 
570	 0.107206483416773 
571	 0.107080885180628 
572	 0.105713855229671 
573	 0.104089958677965 
574	 0.102791322133517 
575	 0.10143448914227 
576	 9.99763529719342E-02 
577	 9.87716166301571E-02 
578	 9.80594433602442E-02 
579	 9.71639376996279E-02 
580	 9.64995427166726E-02 
581	 9.61640294447845E-02 
582	 0.095922861563108 
583	 0.094737135633619 
584	 9.35382343076315E-02 
585	 9.29817211298457E-02 
586	 9.24665223885664E-02 
587	 9.18437707466658E-02 
588	 9.13743645713438E-02 
589	 9.13631932245083E-02 
590	 9.10935708181409E-02 
591	 9.09607087271952E-02 
592	 9.07808522015996E-02 
593	 8.95687713454791E-02 
594	 8.97151579781875E-02 
595	 8.97573844067065E-02 
596	 8.83824879274559E-02 
597	 8.83875013738252E-02 
598	 8.81804715126015E-02 
599	 8.78148912115547E-02 
600	 8.83193994857288E-02 
601	 8.79486042803414E-02 
602	 8.72102112913386E-02 
603	 8.67315519723626E-02 
604	 8.67822434769678E-02 
605	 8.63703625269462E-02 
606	 8.57463478454045E-02 
607	 8.54153347589737E-02 
608	 8.43386138130862E-02 
609	 8.40282672676473E-02 
610	 8.44123564097469E-02 
611	 8.35763804699181E-02 
612	 8.23839031747229E-02 
613	 8.12316917825365E-02 
614	 8.04201159861735E-02 
615	 8.02116606345815E-02 
616	 8.04278735349571E-02 
617	 8.04505711214817E-02 
618	 7.96110480733448E-02 
619	 0.079358456317543 
620	 7.89880062647959E-02 
621	 7.81821134848106E-02 
622	 7.76989837289007E-02 
623	 7.78121229778246E-02 
624	 7.79797477095547E-02 
625	 7.76542449682148E-02 
626	 7.77607745541074E-02 
627	 7.77860837133571E-02 
628	 7.75704354423895E-02 
629	 7.73392698820386E-02 
630	 7.71122753807438E-02 
631	 7.70183671529687E-02 
632	 7.71020876513863E-02 
633	 7.71755789022521E-02 
634	 7.72778396787655E-02 
635	 7.71431254574276E-02 
636	 7.64659376997383E-02 
637	 7.57068686016241E-02 
638	 0.075046658549223 
639	 7.46479263663889E-02 
640	 7.46983364128096E-02 
641	 7.43013434930636E-02 
642	 7.32701529524962E-02 
643	 7.19711273604657E-02 
644	 7.19213702480494E-02 
645	 7.18811732309666E-02 
646	 7.11336439441304E-02 
647	 6.96127396246626E-02 
648	 6.95302980045021E-02 
649	 6.99550144208893E-02 
650	 6.98984465972734E-02 
651	 6.92193813491718E-02 
652	 0.068420677859071 
653	 6.80869374723856E-02 
654	 6.85643979045016E-02 
655	 6.90768414741069E-02 
656	 6.82403715427509E-02 
657	 6.65859598548463E-02 
658	 6.65032513714323E-02 
659	 6.60917661421927E-02 
660	 6.59506706910267E-02 
661	 6.64821680406729E-02 
662	 6.61867665592219E-02 
663	 6.60766252680243E-02 
664	 6.59886462204764E-02 
665	 6.53240787157907E-02 
666	 6.47679370547319E-02 
667	 6.44646403371385E-02 
668	 6.46048553293099E-02 
669	 6.55208367376786E-02 
670	 6.60213109558284E-02 
671	 6.54945487495686E-02 
672	 6.42034907876127E-02 
673	 6.46997861153884E-02 
674	 6.52383956935284E-02 
675	 6.55086151303025E-02 
676	 6.61063771580978E-02 
677	 6.58761377655956E-02 
678	 6.59363569394023E-02 
679	 6.67227704305696E-02 
680	 6.69307452734711E-02 
681	 6.72903582821868E-02 
682	 6.80758650006025E-02 
683	 6.91932611029433E-02 
684	 6.95181888160151E-02 
685	 7.02639425389508E-02 
686	 7.15845500536266E-02 
687	 7.26910672375581E-02 
688	 7.40260097247386E-02 
689	 7.55919066108274E-02 
690	 0.077546866591079 
691	 8.06018720130492E-02 
692	 8.37207224898086E-02 
693	 8.73203414456504E-02 
694	 9.21508579984859E-02 
695	 9.76901414978902E-02 
696	 0.103513084101345 
697	 0.109594870909361 
698	 0.116337726144049 
699	 0.12378130099929 
700	 0.131668185596987 
701	 0.13987641172179 
702	 0.148792905688816 
703	 0.157811960091166 
704	 0.166921168010799 
705	 0.176375906755882 
706	 0.186318961860336 
707	 0.196207232285686 
708	 0.205739867347491 
709	 0.214946279417862 
710	 0.224304368862895 
711	 0.233643066786126 
712	 0.242913526827835 
713	 0.253018896868706 
714	 0.262030239501861 
715	 0.270644094161112 
716	 0.280475036379998 
717	 0.289677586507948 
718	 0.298380375154936 
719	 0.30680647382989 
720	 0.315107130031038 
721	 0.323029506968359 
722	 0.330991939677193 
723	 0.339108510297583 
724	 0.346133833879177 
725	 0.352777370401616 
726	 0.359484516382547 
727	 0.366347708502109 
728	 0.372079136272631 
729	 0.37744835232277 
730	 0.382949565897754 
731	 0.388495830692175 
732	 0.39313934236376 
733	 0.397370057363192 
734	 0.40170604234657 
735	 0.405743711425764 
736	 0.409244014349788 
737	 0.412419811684049 
738	 0.415619147709756 
739	 0.418408314902275 
740	 0.420776482305674 
741	 0.423037359727037 
742	 0.425789139732195 
743	 0.427805993321365 
744	 0.42939256388993 
745	 0.431035631151954 
746	 0.432763063949065 
747	 0.434378287272069 
748	 0.43573478582586 
749	 0.436738402199899 
750	 0.43741694392409 
751	 0.437901654734025 
752	 0.438423274097864 
753	 0.439260038140032 
754	 0.439804243924094 
755	 0.440215084360298 
756	 0.440667996345573 
757	 0.441008630381803 
758	 0.441560338386343 
759	 0.441915802581849 
760	 0.441689242506961 
761	 0.441926516811286 
762	 0.442508075783714 
763	 0.442990341394968 
764	 0.442796029363477 
765	 0.442468737127125 
766	 0.442271243757917 
767	 0.442375077141428 
768	 0.442906986089569 
769	 0.442967605546209 
770	 0.442819666032116 
771	 0.442882389366728 
772	 0.44269201789733 
773	 0.442612027691385 
774	 0.442757782560946 
775	 0.443047636469801 
776	 0.443320675369659 
777	 0.443112534757355 
778	 0.442593543064737 
779	 0.442721054206711 
780	 0.442983524826143 
781	 0.443010371260966 
782	 0.442785761338667 
783	 0.443170724678628 
784	 0.443328309336857 
785	 0.443397098382717 
786	 0.443748786667945 
787	 0.443737033806987 
788	 0.443676128243379 
789	 0.443762960925894 
790	 0.444002192800023 
791	 0.443958241055072 
792	 0.44366631565721 
793	 0.443406632700304 
794	 0.443718333302447 
795	 0.443867920978414 
796	 0.443768024340719 
797	 0.443615814120697 
798	 0.443929389401463 
799	 0.443766111092354 
800	 0.443318968203907 
801	 0.443327655238956 
802	 0.443904557095889 
803	 0.44421518939121 
804	 0.444033405758444 
805	 0.443853313969595 
806	 0.444395185621879 
